region,code,name,address,ramq_billing_categories,google_place_name,locality,country,administrative_area_level_1,administrative_area_level_2,international_phone_number,type,website,latitude,longitude,added_time,place_type,fax_numbers,fax_keywords_en,fax_keywords_fr
Abitibi Temiscamingue,10815,CHSLD DE LA SARRE,"22 1E AVENUE CP 1, LA SARRE, QC, J9Z 1C4",,CHSLD,La Sarre,CA,QC,J9Z 1C4,+1 819-333-5525,hospital,,48.810184,-79.203558,1745790598.0,hospital,18193334316,"[{""fax_number"": ""18193334316"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18193334316"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,10923,CENTRE MULTI SSS L'ETAPE,"700 BOUL FOREST, VAL-D'OR, QC, J9P 2L3",,Centre jeunesse de l'Abitibi-Témiscamingue,Val-d'Or,CA,QC,J9P 2L3,+1 819-825-0002,clinic,,48.0980776,-77.7886558,1745790598.0,clinic,"18198252176,18198255132","[{""fax_number"": ""18198252176"", ""keyword_en"": ""communications for the protection of minors""}, {""fax_number"": ""18198255132"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18198252176"", ""keyword_fr"": ""communications de protection de l'enfant""}, {""fax_number"": ""18198255132"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,10933,CRDP ET CRDI-TSA D'AMOS,"841 3E RUE O, AMOS, QC, J9T 2T4",,Clair Foyer Inc,Amos,CA,QC,J9T 2T4,+1 819-732-6511,hospital,,48.57726009999999,-78.1249801,1745790598.0,hospital,18197320922,"[{""fax_number"": ""18197320922"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18197320922"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,11045,CHSLD DE MALARTIC,"987 RUE DES PINS CP 639, MALARTIC, QC, J0Y 1Z0",,Centre d'hébergement de Malartic,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,hospital,,48.141509,-78.128411,1745790598.0,hospital,18197574330,"[{""fax_number"": ""18197574330"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18197574330"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,11515,CHSLD DE ROUYN-NORANDA,"512 AV RICHARD, ROUYN-NORANDA, QC, J9X 4M1",,CHSLD Pie-XII,Rouyn-Noranda,CA,QC,J9X 4M1,+1 819-762-0908,hospital,,48.2286639,-79.01563329999999,1745790598.0,hospital,,[],[]
Abitibi Temiscamingue,12395,CHSLD D'AMOS,"612 5E AVENUE O, AMOS, QC, J9T 4L3",,CLSC/CHSLD Les Eskers - CLSC De L'Elan,Amos,CA,QC,J9T 2N2,+1 819-732-3271,hospital,http://www.cisss-at.gouv.qc.ca/,48.5737767,-78.1180385,1745790598.0,hospital,18197327526,"[{""fax_number"": ""18197327526"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18197327526"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,12415,CHSLD DE VAL-D'OR,"1212 AV BREBEUF, VAL-D'OR, QC, J9P 2C9",,Centre d'hébergement de Val-d'Or,Val-d'Or,CA,QC,J9P 2C9,+1 819-825-5858,hospital,,48.1018506,-77.7986511,1745790598.0,hospital,18198257893,"[{""fax_number"": ""18198257893"", ""keyword_en"": ""general inquiries / administration""}]","[{""fax_number"": ""18198257893"", ""keyword_fr"": ""renseignements généraux administration""}]"
Abitibi Temiscamingue,12425,CHSLD PALMAROLLE,"136 PRINCIPALE E CP 70, PALMAROLLE, QC, J0Z 3C0",,CLSC Palmarolle,Palmarolle,CA,QC,J0Z 3C0,+1 819-787-2216,hospital,http://www.sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=471732,48.6635934,-79.1998285,1745790598.0,hospital,18197873293,"[{""fax_number"": ""18197873293"", ""keyword_en"": ""general inquiries / main administrative fax""}]","[{""fax_number"": ""18197873293"", ""keyword_fr"": ""administration""}]"
Abitibi Temiscamingue,14933,CRDP ET CRDI-TSA DE ROUYN-NORANDA,"100 CH DR LEMAY, ROUYN-NORANDA, QC, J9X 5T2",,Centre De Readaptation La Maison,Rouyn-Noranda,CA,QC,J9X 5T2,+1 819-762-6592,hospital,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=198&ch_type=&bt_rechType=&theme=autres-ressources&ch_choixReg=&ch_rayon=0&ch_code=&page=310,48.2253979,-79.02105949999999,1745790598.0,hospital,18197621230,"[{""fax_number"": ""18197621230"", ""keyword_en"": ""administration""}]","[{""fax_number"": ""18197621230"", ""keyword_fr"": ""administration générale""}]"
Abitibi Temiscamingue,15185,CHSLD DE VILLE-MARIE,"37 SAINT-JEAN-BAPTISTE S, VILLE-MARIE, QC, J9V 2A9",,Pavillon Duhamel,Ville-Marie,CA,QC,J9V 2A9,+1 819-629-3027,hospital,,47.3272317,-79.43785629999999,1745790598.0,hospital,18196292805,"[{""fax_number"": ""18196292805"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18196292805"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,15943,CRD D'AMOS,"621 RUE DE L'HARRICANA, AMOS, QC, J9T 2P9",,Centre Normand,Amos,CA,QC,J9T 2P9,+1 819-732-8241,hospital,,48.574533,-78.123442,1745790598.0,hospital,18197272210,"[{""fax_number"": ""18197272210"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18197272210"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,18513,SERVICES EXTERNES DE ROUYN-NORANDA,"1 9E RUE 2E ETAGE, ROUYN-NORANDA, QC, J9X 2A9",,CLSC,Rouyn-Noranda,CA,QC,J9X 2A9,+1 819-762-8144,hospital,https://www.cisss-at.gouv.qc.ca/nos-installations/,48.24334989999999,-79.0209175,1745790598.0,hospital,,[],[]
Abitibi Temiscamingue,18563,CLSC ET CRD DE VAL-D'OR,"735 RUE 6 IEME RUE, VAL-D'OR, QC, J9P 3Y1",,CLSC de Val-d'Or,Val-d'Or,CA,QC,J9P 3Y1,+1 819-825-5858,hospital,https://www.cisss-at.gouv.qc.ca/nos-installatio,48.09591169999999,-77.7966024,1745790598.0,hospital,"18198255950,18198257873","[{""fax_number"": ""18198257873"", ""keyword_en"": ""these numbers are general/main fax lines""}, {""fax_number"": ""18198255950"", ""keyword_en"": ""these numbers are general/main fax lines""}]","[{""fax_number"": ""18198257873"", ""keyword_fr"": ""rendez-vous""}, {""fax_number"": ""18198255950"", ""keyword_fr"": ""rendez-vous""}]"
Abitibi Temiscamingue,19485,SNT GERMAIN-BIGUE,"735 6E RUE, VAL-D'OR, QC, J9P 3Y1",,735 6e Rue,Val-d'Or,CA,QC,J9P 3Y1,,pharmacy,,48.0958801,-77.7981868,1745790598.0,clinic,18198257873,"[{""fax_number"": ""18198257873"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18198257873"", ""keyword_fr"": ""dossiers médicaux""}]"
Abitibi Temiscamingue,19495,SNT CRDI AMOS,"841 3E RUE O, AMOS, QC, J9T 2T4",,Clair Foyer Inc,Amos,CA,QC,J9T 2T4,+1 819-732-6511,hospital,,48.57726009999999,-78.1249801,1745790598.0,hospital,18197320922,"[{""fax_number"": ""18197320922"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18197320922"", ""keyword_fr"": ""administration""}]"
Abitibi Temiscamingue,19565,CHSLD LES SOURCES,"692 4E AVENUE O, AMOS, QC, J9T 0B7",,Les Sources,Amos,CA,QC,J9T 2S1,+1 819-732-0581,hospital,http://carrefoursantelessources.com/,48.5749068,-78.12689499999999,1745790598.0,hospital,,[],[]
Abitibi Temiscamingue,19893,CRDP ET CRDI-TSA DE VAL-D'OR,"975 RUE E GERMAIN, VAL-D'OR, QC, J9P 7H7",,Centre De Réadaptation La Maison,Val-d'Or,CA,QC,J9P 7H7,+1 819-825-3337,hospital,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=198&ch_type=&bt_rechType=&theme=autres-ressources&ch_choixReg=&ch_rayon=0&ch_code=&page=310,48.10190559999999,-77.8015571,1745790598.0,hospital,"18198253548,18198253548","[{""fax_number"": ""18198253548"", ""keyword_en"": ""general""}, {""fax_number"": ""18198253548"", ""keyword_en"": ""general""}]","[{""fax_number"": ""18198253548"", ""keyword_fr"": ""général""}, {""fax_number"": ""18198253548"", ""keyword_fr"": ""général""}]"
Abitibi Temiscamingue,19995,MDA MA DE VAL-D'OR,"1030 AV DES ERABLES, VAL-D'OR, QC, J9P 2R3",,Maison des aînés et alternative de Val-d'Or,Val-d'Or,CA,QC,J9P 0R5,+1 873-476-0150,hospital,,48.09472419999999,-77.797958,1745790598.0,hospital,,[],[]
Abitibi Temiscamingue,41500,HOPITAL D'AMOS,"622 4E RUE O, AMOS, QC, J9T 2S2",,Hôpital d’Amos,Amos,CA,QC,J9T 2S2,+1 819-732-3341,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=1208,48.5747602,-78.1254891,1745790598.0,hospital,"18197320425,18197327054","[{""fax_number"": ""18197320425"", ""keyword_en"": ""819-732-3341""}, {""fax_number"": ""18197327054"", ""keyword_en"": ""819-732-3341""}]","[{""fax_number"": ""18197320425"", ""keyword_fr"": ""819-732-3341""}, {""fax_number"": ""18197327054"", ""keyword_fr"": ""819-732-3341""}]"
Abitibi Temiscamingue,41506,HOPITAL D'AMOS,"622 4E RUE O, AMOS, QC, J9T 2S2",,Hôpital d’Amos,Amos,CA,QC,J9T 2S2,+1 819-732-3341,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=1208,48.5747602,-78.1254891,1745790598.0,hospital,"18197320425,18197323113,18197327054,18197272210","[{""fax_number"": ""18197320425"", ""keyword_en"": ""general inquiries""}, {""fax_number"": ""18197323113"", ""keyword_en"": ""atenci\u00f3n al paciente, derivaciones""}, {""fax_number"": ""18197327054"", ""keyword_en"": ""administration""}, {""fax_number"": ""18197272210"", ""keyword_en"": ""atenci\u00f3n al paciente, derivaciones""}]","[{""fax_number"": ""18197320425"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""18197323113"", ""keyword_fr"": ""références""}, {""fax_number"": ""18197327054"", ""keyword_fr"": ""administration""}, {""fax_number"": ""18197272210"", ""keyword_fr"": ""soins aux patients, aiguillages""}]"
Abitibi Temiscamingue,41520,CENTRE MULTI SSS DE LA SARRE,"679 2E RUE CP 6000, LA SARRE, QC, J9Z 2X7",,Centre Hospitalier De La Sarre,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745790598.0,hospital,18193332755,"[{""fax_number"": ""18193332755"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18193332755"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,41530,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2",,Hospital of Rouyn-Noranda - Juteau-Lemay Building,Rouyn-Noranda,CA,QC,J9X 2B2,+1 819-764-5131,hospital,https://www.cisss-at.gouv.qc.ca/,48.2435816,-79.0194841,1745790598.0,hospital,"18197644537,18197642927,18197621057","[{""fax_number"": ""18197644537"", ""keyword_en"": ""general inquiries""}, {""fax_number"": ""18197642927"", ""keyword_en"": ""medical records""}, {""fax_number"": ""18197621057"", ""keyword_en"": ""general inquiries reception/welcome""}]","[{""fax_number"": ""18197644537"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""18197642927"", ""keyword_fr"": ""dossiers médicaux""}, {""fax_number"": ""18197621057"", ""keyword_fr"": ""accueil""}]"
Abitibi Temiscamingue,41531,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2",,Hospital of Rouyn-Noranda - Juteau-Lemay Building,Rouyn-Noranda,CA,QC,J9X 2B2,+1 819-764-5131,hospital,https://www.cisss-at.gouv.qc.ca/,48.2435816,-79.0194841,1745790598.0,hospital,"18197644211,18197642927,18197621057","[{""fax_number"": ""18197644211"", ""keyword_en"": ""general inquiries""}, {""fax_number"": ""18197642927"", ""keyword_en"": ""health records""}, {""fax_number"": ""18197621057"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18197644211"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""18197642927"", ""keyword_fr"": ""dossiers médicaux""}, {""fax_number"": ""18197621057"", ""keyword_fr"": ""accueil""}]"
Abitibi Temiscamingue,41536,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2",,Hospital of Rouyn-Noranda - Juteau-Lemay Building,Rouyn-Noranda,CA,QC,J9X 2B2,+1 819-764-5131,hospital,https://www.cisss-at.gouv.qc.ca/,48.2435816,-79.0194841,1745790598.0,hospital,"18197644211,18197642927,18197621057","[{""fax_number"": ""18197642927"", ""keyword_en"": ""health records""}, {""fax_number"": ""18197644211"", ""keyword_en"": ""Unknown/Unspecified""}, {""fax_number"": ""18197621057"", ""keyword_en"": ""general""}]","[{""fax_number"": ""18197642927"", ""keyword_fr"": ""dossiers médicaux""}, {""fax_number"": ""18197644211"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""18197621057"", ""keyword_fr"": ""général""}]"
Abitibi Temiscamingue,41540,HOPITAL DE VAL-D'OR,"725 6E RUE, VAL-D'OR, QC, J9P 3Y1",,Hôpital de Val-d’Or,Val-d'Or,CA,QC,J9P 3Y1,+1 819-825-5858,hospital,http://www.cisss-at.gouv.qc.ca/,48.0966532,-77.7964539,1745790598.0,hospital,"18198257919,18198257812,18198257921,18198257919","[{""fax_number"": ""18198257812"", ""keyword_en"": ""reception""}, {""fax_number"": ""18198257921"", ""keyword_en"": ""medical archives""}, {""fax_number"": ""18198257919"", ""keyword_en"": ""unknown / not specified""}, {""fax_number"": ""18198257919"", ""keyword_en"": ""unknown / not specified""}]","[{""fax_number"": ""18198257812"", ""keyword_fr"": ""accueil""}, {""fax_number"": ""18198257921"", ""keyword_fr"": ""dossiers médicaux""}, {""fax_number"": ""18198257919"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""18198257919"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,41550,CENTRE MULTI SSS DE VILLE-MARIE,"22 NOTRE-DAME N, VILLE-MARIE, QC, J9V 1W8",,Centre de Santé et de services sociaux du Lac-Témiscamingue,Ville-Marie,CA,QC,J9V 1W8,+1 819-629-2420,hospital,https://www.cisss-at.gouv.qc.ca/,47.33327469999999,-79.44437010000001,1745790598.0,hospital,"18196292128,18196293257","[{""fax_number"": ""18196292128"", ""keyword_en"": ""general inquiries""}, {""fax_number"": ""18196293257"", ""keyword_en"": ""general inquiries or administration""}]","[{""fax_number"": ""18196292128"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""18196293257"", ""keyword_fr"": ""administration""}]"
Abitibi Temiscamingue,44939,CRDP ET CRDI-TSA DE ROUYN-NORANDA,"100 CH DR LEMAY, ROUYN-NORANDA, QC, J9X 5T2",,Centre De Readaptation La Maison,Rouyn-Noranda,CA,QC,J9X 5T2,+1 819-762-6592,hospital,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=198&ch_type=&bt_rechType=&theme=autres-ressources&ch_choixReg=&ch_rayon=0&ch_code=&page=310,48.2253979,-79.02105949999999,1745790598.0,hospital,"18197621230,18197978313","[{""fax_number"": ""18197621230"", ""keyword_en"": ""General Administration""}, {""fax_number"": ""18197978313"", ""keyword_en"": ""Service de aides techniques""}]","[{""fax_number"": ""18197621230"", ""keyword_fr"": ""administration""}, {""fax_number"": ""18197978313"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,48291,GMFU DE LA VALLEE-DE-L'OR,"525 6E RUE, VAL-D'OR, QC, J9P 0L6",,GMF-U de la Vallée-de-l'Or / Groupe de médecine familiale universitaire de la Vallée-de-l'Or,Val-d'Or,CA,QC,J9P 0L6,+1 819-825-5858 ext. 5,hospital,http://www.gmfuvalleedelor.com/,48.0963772,-77.7951121,1745790598.0,hospital,18198251192,"[{""fax_number"": ""18198251192"", ""keyword_en"": ""administration""}]","[{""fax_number"": ""18198251192"", ""keyword_fr"": ""administration""}]"
Abitibi Temiscamingue,48301,GMFU DE ROUYN-NORANDA,"3 9E RUE 3E ETAGE, ROUYN-NORANDA, QC, J9X 2A9",,Groupe de médecine de famille universitaire,Rouyn-Noranda,CA,QC,J9X 2A9,+1 819-797-4535,hospital,,48.2441571,-79.0206456,1745790598.0,hospital,,[],[]
Abitibi Temiscamingue,49241,GMFU D'AMOS,"100-692 4E AVENUE O, AMOS, QC, J9T 0B7",,GMF-U Les Eskers d'Amos,Amos,CA,QC,J9T 0B7,+1 819-732-6972,hospital,http://gmfuleseskers.ca/,48.5750236,-78.1281051,1745790598.0,hospital,18197329130,"[{""fax_number"": ""18197329130"", ""keyword_en"": ""near U Les Eskers D'Amos""}]","[{""fax_number"": ""18197329130"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,50139,CANADIAN FORCES BASE HOSPITAL,", SENNETERRE, QC, J0Y 2M0",,Centre de santé de Senneterre,Senneterre,CA,QC,J0Y 2M0,+1 819-825-5858,hospital,http://www.cisss-at.gouv.qc.ca/,48.3845597,-77.2529078,1745790598.0,hospital,"14188443959,14188445056","[{""fax_number"": ""14188443959"", ""keyword_en"": ""Valcartier Military Family Resource Centre""}, {""fax_number"": ""14188445056"", ""keyword_en"": ""2nd Canadian Division Support Base Valcartier""}]","[{""fax_number"": ""14188443959"", ""keyword_fr"": ""renseignements généraux""}, {""fax_number"": ""14188445056"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,51014,CLINIQUE D'HYGIENE DENTAIRE NOEMIE ROY,"108-450 3E AVENUE, VAL-D'OR, QC, J9P 1S2",,Clinique d'hygiène dentaire Noémie Roy,Val-d'Or,CA,QC,J9P 1S2,+1 819-443-4158,hospital,https://www.noemieroy-hd.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11114864552978627084,48.1008612,-77.7796655,1745790598.0,hospital,,[],[]
Abitibi Temiscamingue,52511,CLINIQUE D'OPTOMETRIE DE MALARTIC,"742 ROYALE CP 1807, MALARTIC, QC, J0Y 1Z0",,Hôpital en santé mentale et CLSC de Malartic,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745790598.0,hospital,18197574441,"[{""fax_number"": ""18197574441"", ""keyword_en"": ""general inquiries""}]","[{""fax_number"": ""18197574441"", ""keyword_fr"": ""renseignements généraux""}]"
Abitibi Temiscamingue,52512,"CLINIQUE D'OPTOMETRIE MORIN, MARCOTTE, LAROCHE","660A 10E AVENUE, SENNETERRE, QC, J0Y 2M0",,Vision-Ère,Val-d'Or,CA,QC,J9P 1S7,+1 819-824-4703,hospital,http://visionere.ca/,48.1014327,-77.7847456,1745790598.0,hospital,15145212229,"[{""fax_number"": ""15145212229"", ""keyword_en"": ""administration""}]","[{""fax_number"": ""15145212229"", ""keyword_fr"": ""administration""}]"
Abitibi Temiscamingue,52513,COME VIENS OPTOMETRISTE,"7A SAINTE-ANNE, VILLE-MARIE, QC, J9V 2B6",,IRIS Optométristes et Opticiens - Ville-Marie,Ville-Marie,CA,QC,J9V 1J3,+1 819-622-0909,hospital,https://iris.ca/fr/trouver-une-boutique/ville-marie,47.3343723,-79.4364775,1745790598.0,hospital,,[],[]
Abitibi Temiscamingue,52514,ROGER BELLEMARE OPTOMETRISTE,"26A DES OBLATS N, VILLE-MARIE, QC, J9V 1J3",,IRIS Optométristes et Opticiens - Ville-Marie,Ville-Marie,CA,QC,J9V 1J3,+1 819-622-0909,hospital,https://iris.ca/fr/trouver-une-boutique/ville-marie,47.3343723,-79.4364775,1745790598.0,hospital,18196220888,"[{""fax_number"": ""18196220888"", ""keyword_en"": ""general operations""}]","[{""fax_number"": ""18196220888"", ""keyword_fr"": ""références""}]"
Abitibi Temiscamingue,52739,CLINIQUE D'OPTOMETRIE DE VAL D'OR,"887 3E AVENUE, VAL-D'OR, QC, J9P 1T2",,Vision-Ère,Val-d'Or,CA,QC,J9P 1S7,+1 819-824-4703,hospital,http://visionere.ca/,48.1014327,-77.7847456,1745790598.0,hospital,"18198249200,18198259254","[{""fax_number"": ""18198249200"", ""keyword_en"": ""general inquiries / customer service""}, {""fax_number"": ""18198259254"", ""keyword_en"": ""not specified""}]","[{""fax_number"": ""18198249200"", ""keyword_fr"": ""renseignements généraux service à la clientèle""}, {""fax_number"": ""18198259254"", ""keyword_fr"": ""renseignements généraux""}]"
