region,code,name,address,categories,id,admin_user_id,locality,country,administrative_area_level_1,administrative_area_level_2,international_phone_number,fax_number,type,website,latitude,longitude,added_time,place_type,is_fax_enabled
Abitibi Temiscamingue,19995,MDA MA DE VAL-D'OR,"1030 AV DES ERABLES, VAL-D'OR, QC, J9P 2R3",,ChIJLb80xg1T30wRJA6BY4Ly6eE,,Val-d'Or,CA,QC,J9P 2C9,+1 819-825-5858,,hospital,,48.1018506,-77.7986511,1745782710,hospital,0
Abitibi Temiscamingue,41500,HOPITAL D'AMOS,"622 4E RUE O, AMOS, QC, J9T 2S2",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,41506,HOPITAL D'AMOS,"622 4E RUE O, AMOS, QC, J9T 2S2",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,41520,CENTRE MULTI SSS DE LA SARRE,"679 2E RUE CP 6000, LA SARRE, QC, J9Z 2X7",,ChIJA0oPPnh5IU0R6oY1vw_EGAY,,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745782710,hospital,0
Abitibi Temiscamingue,41530,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2",,ChIJRYnrMgAzIU0RgjTZQP2PuNk,,Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745782710,pharmacy,0
Abitibi Temiscamingue,41531,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2",,ChIJRYnrMgAzIU0RgjTZQP2PuNk,,Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745782710,pharmacy,0
Abitibi Temiscamingue,41536,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2",,ChIJRYnrMgAzIU0RgjTZQP2PuNk,,Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745782710,pharmacy,0
Abitibi Temiscamingue,41540,HOPITAL DE VAL-D'OR,"725 6E RUE, VAL-D'OR, QC, J9P 3Y1",,ChIJLb80xg1T30wRJA6BY4Ly6eE,,Val-d'Or,CA,QC,J9P 2C9,+1 819-825-5858,,hospital,,48.1018506,-77.7986511,1745782710,hospital,0
Abitibi Temiscamingue,41550,CENTRE MULTI SSS DE VILLE-MARIE,"22 NOTRE-DAME N, VILLE-MARIE, QC, J9V 1W8",,ChIJA0oPPnh5IU0R6oY1vw_EGAY,,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745782710,hospital,0
Abitibi Temiscamingue,44939,CRDP ET CRDI-TSA DE ROUYN-NORANDA,"100 CH DR LEMAY, ROUYN-NORANDA, QC, J9X 5T2",,ChIJRYnrMgAzIU0RgjTZQP2PuNk,,Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745782710,pharmacy,0
Abitibi Temiscamingue,48291,GMFU DE LA VALLEE-DE-L'OR,"525 6E RUE, VAL-D'OR, QC, J9P 0L6",,ChIJA0oPPnh5IU0R6oY1vw_EGAY,,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745782710,hospital,0
Abitibi Temiscamingue,48301,GMFU DE ROUYN-NORANDA,"3 9E RUE 3E ETAGE, ROUYN-NORANDA, QC, J9X 2A9",,ChIJRYnrMgAzIU0RgjTZQP2PuNk,,Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745782710,pharmacy,0
Abitibi Temiscamingue,49241,GMFU D'AMOS,"100-692 4E AVENUE O, AMOS, QC, J9T 0B7",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,50139,CANADIAN FORCES BASE HOSPITAL,", SENNETERRE, QC, J0Y 2M0",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,51014,CLINIQUE D'HYGIENE DENTAIRE NOEMIE ROY,"108-450 3E AVENUE, VAL-D'OR, QC, J9P 1S2",,ChIJHZ60leFT30wR2SiZAZnA1KY,,Val-d'Or,CA,QC,J9P 1S2,+1 819-443-4158,,hospital,https://www.noemieroy-hd.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11114864552978627084,48.1008612,-77.7796655,1745782710,hospital,0
Abitibi Temiscamingue,52511,CLINIQUE D'OPTOMETRIE DE MALARTIC,"742 ROYALE CP 1807, MALARTIC, QC, J0Y 1Z0",,ChIJc_hfxn6tIE0Rz6wItmfvifM,,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745782710,hospital,0
Abitibi Temiscamingue,52512,"CLINIQUE D'OPTOMETRIE MORIN, MARCOTTE, LAROCHE","660A 10E AVENUE, SENNETERRE, QC, J0Y 2M0",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,52513,COME VIENS OPTOMETRISTE,"7A SAINTE-ANNE, VILLE-MARIE, QC, J9V 2B6",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,52514,ROGER BELLEMARE OPTOMETRISTE,"26A DES OBLATS N, VILLE-MARIE, QC, J9V 1J3",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,52739,CLINIQUE D'OPTOMETRIE DE VAL D'OR,"887 3E AVENUE, VAL-D'OR, QC, J9P 1T2",,ChIJk4zSNAJT30wR23azOBVPBe8,,Val-d'Or,CA,QC,J9P 5K1,+1 819-874-8055,,hospital,https://www.greiche-scaff.com/fr/stores/store/index/id/347/,48.095332,-77.8261741,1745782710,hospital,0
Abitibi Temiscamingue,52740,CLINIQUE D'OPTOMETRIE VISION-ERE,"663 3E AVENUE, VAL-D'OR, QC, J9P 1S7",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,52742,CLINIQUE D'OPTOMETRIE IRIS,"82 1E AVENUE E, AMOS, QC, J9T 4B2",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,52743,CENTRE VISUEL ROUYN-NORANDA,"66 GAMBLE O, ROUYN-NORANDA, QC, J9X 2R4",,ChIJV_iVLYqSIE0R4rx5xr2_xug,,Amos,CA,QC,J9T 1H2,+1 819-732-6831,,hospital,http://centrevisueldeseskers.com/,48.57213499999999,-78.114401,1745782710,hospital,0
Abitibi Temiscamingue,52746,IRIS LASARRE,"49 5E AVENUE E, LA SARRE, QC, J9Z 1L1",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,52747,"CHABOT, TRUDEL ET ST-PIERRE OPTOMETRISTES","200-671 2E RUE E, LA SARRE, QC, J9Z 3J7",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,52859,LAURENT MERCIER OPTOMETRISTE,"51 BOUL MERCIER, AMOS, QC, J9T 2N8",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,52966,GREICHE ET SCAFF,"39-1801 3E AVENUE, VAL-D'OR, QC, J9P 5K1",,ChIJk4zSNAJT30wR23azOBVPBe8,,Val-d'Or,CA,QC,J9P 5K1,+1 819-874-8055,,hospital,https://www.greiche-scaff.com/fr/stores/store/index/id/347/,48.095332,-77.8261741,1745782710,hospital,0
Abitibi Temiscamingue,53058,GREICHE & SCAFF,"96-100 DU TERMINUS O, ROUYN-NORANDA, QC, J9X 6H7",,ChIJk4zSNAJT30wR23azOBVPBe8,,Val-d'Or,CA,QC,J9P 5K1,+1 819-874-8055,,hospital,https://www.greiche-scaff.com/fr/stores/store/index/id/347/,48.095332,-77.8261741,1745782710,hospital,0
Abitibi Temiscamingue,53134,CHARLES LONGLADE O.D.,"183 ANVIK, TEMISCAMING, QC, J0Z 3R0",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,53179,CLINIQUE D'OPTOMETRIE NATHALIE BRIEN,"887 3E AVENUE, VAL-D'OR, QC, J9P 1T2",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,53232,CLINIQUE D'OPTOMETRIE ROUYN-NORANDA,"75 MONSEIGNEUR TESSIER O, ROUYN-NORANDA, QC, J9X 2S5",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,53822,CENTRE VISUEL DES ESKERS,"41 1E AVENUE E, AMOS, QC, J9T 1H2",,ChIJV_iVLYqSIE0R4rx5xr2_xug,,Amos,CA,QC,J9T 1H2,+1 819-732-6831,,hospital,http://centrevisueldeseskers.com/,48.57213499999999,-78.114401,1745782710,hospital,0
Abitibi Temiscamingue,54055,GMF-U DES AURORES BOREALES,"228 2E RUE E, LA SARRE, QC, J9Z 2G9",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,54056,CLINIQUE DE SANTE DE L'EVEIL,"202 12E AVENUE E, LA SARRE, QC, J9Z 2M6",,ChIJn7n3cpGSIE0RifCVQaeDISY,,Amos,CA,QC,J9T 2S1,+1 819-732-6972,,hospital,http://www.gmfuleseskers.ca/,48.57488719999999,-78.12689929999999,1745782710,hospital,0
Abitibi Temiscamingue,54057,CLINIQUE DU DOCTEURE HELENE HOTLETT,"12 MONTEE LAVIGNE CP 156, LA SARRE, QC, J9Z 2X5",,ChIJY8k07cjdvUwRYlR62JTfwMY,,Témiscouata-sur-le-Lac,CA,QC,G0L 1E0,+1 418-854-2443,,hospital,,47.6836409,-68.8798022,1745782710,hospital,0
Abitibi Temiscamingue,54157,CLINIQUE MEDICALE LE NOROIS,"201-641 4E RUE O, AMOS, QC, J9T 2S1",,ChIJqzaCK5ozIU0Rvg0aKsQYcjs,,Rouyn-Noranda,CA,QC,J9X 4P1,+1 819-764-6185,,hospital,,48.2416267,-79.0196685,1745782710,hospital,0
Abitibi Temiscamingue,54184,CLINIQUE MEDICALE DE L'OR ET DES BOIS,"1281 7E RUE, VAL-D'OR, QC, J9P 3S1",,ChIJRYnrMgAzIU0RgjTZQP2PuNk,,Rouyn-Noranda,CA,QC,J9X 0G8,+1 873-475-0168,,pharmacy,,48.238421,-78.98974199999999,1745782710,pharmacy,0
Abitibi Temiscamingue,54185,CLINIQUE FAMILIALE DES PINS,"1019 BOUL DES PINS, VAL-D'OR, QC, J9P 4T2",,ChIJ7RTqVhZT30wR5W5KfWE87w8,,Val-d'Or,CA,QC,J9P 4T2,+1 819-825-8464,,hospital,,48.09144819999999,-77.7996847,1745782710,hospital,0
Abitibi Temiscamingue,54186,CLINIQUE DR CLAUDE MALENFANT,"1731 3E AVENUE BUREAU 100, VAL-D'OR, QC, J9P 1W3",,ChIJQwLLYm9T30wR1UB1xtyJoOs,,Val-d'Or,CA,QC,J9P 1W3,+1 819-825-6678,,hospital,,48.0974215,-77.81998519999999,1745782710,hospital,0
Abitibi Temiscamingue,54241,CLINIQUE DE MEDECINE FAMILIALE,"19 RUE GAMBLE O, ROUYN-NORANDA, QC, J9X 2R3",,ChIJn7n3cpGSIE0RifCVQaeDISY,,Amos,CA,QC,J9T 2S1,+1 819-732-6972,,hospital,http://www.gmfuleseskers.ca/,48.57488719999999,-78.12689929999999,1745782710,hospital,0
Abitibi Temiscamingue,54242,CLINIQUE MEDICALE DU CUIVRE (SIEGE SOCIAL),"2813 BOUL RIDEAU, ROUYN-NORANDA, QC, J0Z 1Y0",,ChIJqzaCK5ozIU0Rvg0aKsQYcjs,,Rouyn-Noranda,CA,QC,J9X 4P1,+1 819-764-6185,,hospital,,48.2416267,-79.0196685,1745782710,hospital,0
Abitibi Temiscamingue,54243,CLINIQUE FLEUR DE LYS,"8 RUE DU TERMINUS E 3E ETAGE, ROUYN-NORANDA, QC, J9X 3B4",,ChIJqzaCK5ozIU0Rvg0aKsQYcjs,,Rouyn-Noranda,CA,QC,J9X 4P1,+1 819-764-6185,,hospital,,48.2416267,-79.0196685,1745782710,hospital,0
Abitibi Temiscamingue,54244,CLINIQUE MEDICALE ACCES-SANTE,"8 RUE DU TERMINUS E REZ-DE-CHAUSSEE, ROUYN-NORANDA, QC, J9X 3B4",,ChIJqzaCK5ozIU0RT62BGnrybzA,,Rouyn-Noranda,CA,QC,J9X 3B4,+1 819-762-2130,,hospital,,48.2416536,-79.0196344,1745782710,hospital,0
Abitibi Temiscamingue,54245,CLINIQUE MEDICALE KEKEKO,"166 RUE IBERVILLE E, ROUYN-NORANDA, QC, J9X 3B4",,ChIJqzaCK5ozIU0Rvg0aKsQYcjs,,Rouyn-Noranda,CA,QC,J9X 4P1,+1 819-764-6185,,hospital,,48.2416267,-79.0196685,1745782710,hospital,0
Abitibi Temiscamingue,54246,CLINIQUE DE MEDECINE DE FAMILLE MARLEAU ET PARAYRE,"19 RUE GAMBLE O, ROUYN-NORANDA, QC, J9X 2R3",,ChIJc_hfxn6tIE0Rz6wItmfvifM,,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745782710,hospital,0
Abitibi Temiscamingue,54297,POLYCLINIQUE WABAKIN DE LA SARRE,"255 3E RUE E, LA SARRE, QC, J9Z 3N7",,ChIJA0oPPnh5IU0R6oY1vw_EGAY,,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745782710,hospital,0
Abitibi Temiscamingue,54390,CENTRE MEDICAL LARIVIERE,"423 AV LARIVIERE, ROUYN-NORANDA, QC, J9X 4H9",,ChIJZxf0-wozIU0R2Oiqe-hczZw,,Rouyn-Noranda,CA,QC,J9X 4H9,+1 819-762-4004,,hospital,https://www.sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=434519,48.2310826,-79.0142663,1745782710,hospital,0
Abitibi Temiscamingue,54451,CLINIQUE MEDICALE EVAIN,"2813 RIDEAU BLVD, ROUYN-NORANDA, QC, J0Y 1Z0",,ChIJqzaCK5ozIU0Rvg0aKsQYcjs,,Rouyn-Noranda,CA,QC,J9X 4P1,+1 819-764-6185,,hospital,,48.2416267,-79.0196685,1745782710,hospital,0
Abitibi Temiscamingue,54486,CLINIQUE ALLIANCE,"121 8E RUE, ROUYN-NORANDA, QC, J9X 2A5",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,54495,ACCUEIL GMF ROUYN-NORANDA,"8 RUE DU TERMINUS E, ROUYN-NORANDA, QC, J9X 3B4",,ChIJqzaCK5ozIU0RYXD4MEYzbZ0,,Rouyn-Noranda,CA,QC,J9X 3B4,+1 819-762-1801,,hospital,http://gmfrn.com/,48.2416536,-79.0196344,1745782710,hospital,0
Abitibi Temiscamingue,55122,CLINIQUE CENTRE-VILLE,"929 3E AVENUE, VAL D'OR, QC, J9P 1T4",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,55181,COOP SANTE TEMISCAVIE,"19 RUE DOLLARD, VILLE-MARIE, QC, J9V 1L1",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,55215,CLINIQUE MEDICALE AMOS,"203-641 4E RUE O, AMOS, QC, J9T 2S1",,ChIJqzaCK5ozIU0Rvg0aKsQYcjs,,Rouyn-Noranda,CA,QC,J9X 4P1,+1 819-764-6185,,hospital,,48.2416267,-79.0196685,1745782710,hospital,0
Abitibi Temiscamingue,55223,CLINIQUE MEDICALE VILLE-MARIE,"56 RUE SAINTE-ANNE, VILLE-MARIE, QC, J9V 2B7",,ChIJqzaCK5ozIU0Rvg0aKsQYcjs,,Rouyn-Noranda,CA,QC,J9X 4P1,+1 819-764-6185,,hospital,,48.2416267,-79.0196685,1745782710,hospital,0
Abitibi Temiscamingue,55394,ESKAIR,"511 7E RUE O, AMOS, QC, J9T 2Y3",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,55717,DR PIERRE FLEURY,"334 AV DU LAC, PREISSAC, QC, J0Y 2E0",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,55804,MICHEL BROUILLARD M.D.,,,,,,,,,,,,,,,,,
Abitibi Temiscamingue,12831,"BOUL RIDEAU, ROUYN-NORANDA, QC, J0Z 3J0",,,,,,,,,,,,,,,,,
Abitibi Temiscamingue,55819,CLINIQUE BELLA DONNA (MEDICO-ESTHETIQUE),"700 3E AVENUE, VAL-D'OR, QC, J9P 1S5",,ChIJQb42EwRT30wRR2bW_VpFXUE,,Val-d'Or,CA,QC,J9P 1S5,+1 819-874-0923,,clinic,http://www.cliniquebelladonna.com/,48.1018365,-77.7850918,1745782710,clinic,0
Abitibi Temiscamingue,55958,CLINIQUE MEDICALE DE FABRE,"1374 RUE PRINCIPALE, ST-EDOUARD-DE-FABRE, QC, J0Z 1Z0",,ChIJqzaCK5ozIU0Rvg0aKsQYcjs,,Rouyn-Noranda,CA,QC,J9X 4P1,+1 819-764-6185,,hospital,,48.2416267,-79.0196685,1745782710,hospital,0
Abitibi Temiscamingue,56153,CLINIQUE MEDICALE URO-GYNECO DE L'ABITIBI,"1660 3E AVENUE, VAL-D'OR, QC, J9P 1W1",,ChIJqzaCK5ozIU0Rvg0aKsQYcjs,,Rouyn-Noranda,CA,QC,J9X 4P1,+1 819-764-6185,,hospital,,48.2416267,-79.0196685,1745782710,hospital,0
Abitibi Temiscamingue,57123,CLINIQUE JP M.D.,"115 RUE DU TERMINUS O, ROUYN-NORANDA, QC, J9X 2P7",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,70026,ETABLISSEMENT DE DETENTION D'AMOS,"902 ROUTE 111 O, AMOS, QC, J9T 3A3",,,,,,,,,,,,,,,,
Abitibi Temiscamingue,80145,HOPITAL PSYCHIATRIQUE DE MALARTIC,"1141 RUE ROYALE, MALARTIC, QC, J0Y 1Z0",,ChIJc_hfxn6tIE0Rz6wItmfvifM,,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745782710,hospital,0
Abitibi Temiscamingue,81035,CLSC DE BARRAUTE,"660 RUE PRINCIPALE CP 179, BARRAUTE, QC, J0Y 1A0",,ChIJ815TV4lm30wRAeI5ZA8MacY,,Barraute,CA,QC,J0Y 1A0,+1 819-734-6571,,hospital,,48.44075479999999,-77.63461099999999,1745782710,hospital,0
Abitibi Temiscamingue,81045,CLSC DE ROCHEBAUCOURT,"15 RUE DES PINS, ROCHEBAUCOURT, QC, J0Y 2J0",,ChIJc_hfxn6tIE0Rz6wItmfvifM,,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745782710,hospital,0
Abitibi Temiscamingue,82575,CDD ET CDE DU PAVILLON SAINTE-FAMILLE,"22 RUE NOTRE-DAME N, VILLE-MARIE, QC, J9V 1W8",,ChIJK40IRaJBJk0RFifVvlYtO9s,,Ville-Marie,CA,QC,J9V 1W8,+1 819-629-2420,,hospital,https://www.cisss-at.gouv.qc.ca/,47.33327469999999,-79.44437010000001,1745782710,hospital,0
