region,code,name,address,categories,Unnamed: 0,id,google_place_name,locality,country,administrative_area_level_1,administrative_area_level_2,international_phone_number,fax_number,type,website,latitude,longitude,added_time,place_type,is_fax_enabled
Abitibi Temiscamingue,10815,CHSLD DE LA SARRE,"22 1E AVENUE CP 1, LA SARRE, QC, J9Z 1C4",,10.0,ChIJGwan-xp5IU0RG6dJ6F0NaFg,CHSLD,La Sarre,CA,QC,J9Z 1C4,+1 819-333-5525,,hospital,,48.810184,-79.203558,1745790598,hospital,0
Abitibi Temiscamingue,10923,CENTRE MULTI SSS L'ETAPE,"700 BOUL FOREST, VAL-D'OR, QC, J9P 2L3",,11.0,ChIJAQUmThtT30wRuXaB7nwmdjE,Centre jeunesse de l'Abitibi-Témiscamingue,Val-d'Or,CA,QC,J9P 2L3,+1 819-825-0002,,clinic,,48.0980776,-77.7886558,1745790598,clinic,0
Abitibi Temiscamingue,10933,CRDP ET CRDI-TSA D'AMOS,"841 3E RUE O, AMOS, QC, J9T 2T4",,12.0,ChIJmZlgfpCSIE0RVFvdGV_BiHA,Clair Foyer Inc,Amos,CA,QC,J9T 2T4,+1 819-732-6511,,hospital,,48.57726009999999,-78.1249801,1745790598,hospital,0
Abitibi Temiscamingue,11045,CHSLD DE MALARTIC,"987 RUE DES PINS CP 639, MALARTIC, QC, J0Y 1Z0",,13.0,ChIJhXPDAn-tIE0R6MfmAuivcJQ,Centre d'hébergement de Malartic,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,,48.141509,-78.128411,1745790598,hospital,0
Abitibi Temiscamingue,11515,CHSLD DE ROUYN-NORANDA,"512 AV RICHARD, ROUYN-NORANDA, QC, J9X 4M1",,14.0,ChIJ_TF6bAszIU0Rhxdnzv3otk0,CHSLD Pie-XII,Rouyn-Noranda,CA,QC,J9X 4M1,+1 819-762-0908,,hospital,,48.2286639,-79.01563329999999,1745790598,hospital,0
Abitibi Temiscamingue,12395,CHSLD D'AMOS,"612 5E AVENUE O, AMOS, QC, J9T 4L3",,15.0,ChIJNciuj4uSIE0RDsg7d4h-UZA,CLSC/CHSLD Les Eskers - CLSC De L'Elan,Amos,CA,QC,J9T 2N2,+1 819-732-3271,,hospital,http://www.cisss-at.gouv.qc.ca/,48.5737767,-78.1180385,1745790598,hospital,0
Abitibi Temiscamingue,12415,CHSLD DE VAL-D'OR,"1212 AV BREBEUF, VAL-D'OR, QC, J9P 2C9",,16.0,ChIJLb80xg1T30wRJA6BY4Ly6eE,Centre d'hébergement de Val-d'Or,Val-d'Or,CA,QC,J9P 2C9,+1 819-825-5858,,hospital,,48.1018506,-77.7986511,1745790598,hospital,0
Abitibi Temiscamingue,12425,CHSLD PALMAROLLE,"136 PRINCIPALE E CP 70, PALMAROLLE, QC, J0Z 3C0",,17.0,ChIJxcjLBGZlIU0RKRjNQ3CPtQg,CLSC Palmarolle,Palmarolle,CA,QC,J0Z 3C0,+1 819-787-2216,,hospital,http://www.sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=471732,48.6635934,-79.1998285,1745790598,hospital,0
Abitibi Temiscamingue,14933,CRDP ET CRDI-TSA DE ROUYN-NORANDA,"100 CH DR LEMAY, ROUYN-NORANDA, QC, J9X 5T2",,18.0,ChIJuRgL6nIzIU0Ruq9e0oKICvk,Centre De Readaptation La Maison,Rouyn-Noranda,CA,QC,J9X 5T2,+1 819-762-6592,,hospital,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=198&ch_type=&bt_rechType=&theme=autres-ressources&ch_choixReg=&ch_rayon=0&ch_code=&page=310,48.2253979,-79.02105949999999,1745790598,hospital,0
Abitibi Temiscamingue,15185,CHSLD DE VILLE-MARIE,"37 SAINT-JEAN-BAPTISTE S, VILLE-MARIE, QC, J9V 2A9",,19.0,ChIJi-eoKwhBJk0RtpxvFiy2xqY,Pavillon Duhamel,Ville-Marie,CA,QC,J9V 2A9,+1 819-629-3027,,hospital,,47.3272317,-79.43785629999999,1745790598,hospital,0
Abitibi Temiscamingue,15943,CRD D'AMOS,"621 RUE DE L'HARRICANA, AMOS, QC, J9T 2P9",,20.0,ChIJVcJU5JGSIE0R5UhTfd3fVtA,Centre Normand,Amos,CA,QC,J9T 2P9,+1 819-732-8241,,hospital,,48.574533,-78.123442,1745790598,hospital,0
Abitibi Temiscamingue,18513,SERVICES EXTERNES DE ROUYN-NORANDA,"1 9E RUE 2E ETAGE, ROUYN-NORANDA, QC, J9X 2A9",,21.0,ChIJxfGxFZozIU0RqDMvuhj8JI4,CLSC,Rouyn-Noranda,CA,QC,J9X 2A9,+1 819-762-8144,,hospital,https://www.cisss-at.gouv.qc.ca/nos-installations/,48.24334989999999,-79.0209175,1745790598,hospital,0
Abitibi Temiscamingue,18563,CLSC ET CRD DE VAL-D'OR,"735 RUE 6 IEME RUE, VAL-D'OR, QC, J9P 3Y1",,22.0,ChIJi8jXPjlT30wRPM-9lC1o4yg,CLSC de Val-d'Or,Val-d'Or,CA,QC,J9P 3Y1,+1 819-825-5858,,hospital,https://www.cisss-at.gouv.qc.ca/nos-installatio,48.09591169999999,-77.7966024,1745790598,hospital,0
Abitibi Temiscamingue,19485,SNT GERMAIN-BIGUE,"735 6E RUE, VAL-D'OR, QC, J9P 3Y1",,23.0,ChIJ16qdFBFT30wRK9OSIIT4VPM,735 6e Rue,Val-d'Or,CA,QC,J9P 3Y1,,,pharmacy,,48.0958801,-77.7981868,1745790598,clinic,0
Abitibi Temiscamingue,19495,SNT CRDI AMOS,"841 3E RUE O, AMOS, QC, J9T 2T4",,24.0,ChIJmZlgfpCSIE0RVFvdGV_BiHA,Clair Foyer Inc,Amos,CA,QC,J9T 2T4,+1 819-732-6511,,hospital,,48.57726009999999,-78.1249801,1745790598,hospital,0
Abitibi Temiscamingue,19565,CHSLD LES SOURCES,"692 4E AVENUE O, AMOS, QC, J9T 0B7",,25.0,ChIJAQDAbpGSIE0RoejMW6E6ONU,Les Sources,Amos,CA,QC,J9T 2S1,+1 819-732-0581,,hospital,http://carrefoursantelessources.com/,48.5749068,-78.12689499999999,1745790598,hospital,0
Abitibi Temiscamingue,19893,CRDP ET CRDI-TSA DE VAL-D'OR,"975 RUE E GERMAIN, VAL-D'OR, QC, J9P 7H7",,26.0,ChIJfQEamAxT30wRTCvC5kEGOr0,Centre De Réadaptation La Maison,Val-d'Or,CA,QC,J9P 7H7,+1 819-825-3337,,hospital,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=198&ch_type=&bt_rechType=&theme=autres-ressources&ch_choixReg=&ch_rayon=0&ch_code=&page=310,48.10190559999999,-77.8015571,1745790598,hospital,0
Abitibi Temiscamingue,19995,MDA MA DE VAL-D'OR,"1030 AV DES ERABLES, VAL-D'OR, QC, J9P 2R3",,27.0,ChIJEwFLKQBT30wRBiHFjopfvn4,Maison des aînés et alternative de Val-d'Or,Val-d'Or,CA,QC,J9P 0R5,+1 873-476-0150,,hospital,,48.09472419999999,-77.797958,1745790598,hospital,0
Abitibi Temiscamingue,41500,HOPITAL D'AMOS,"622 4E RUE O, AMOS, QC, J9T 2S2",,28.0,ChIJ8_e2nZGSIE0RQHTMxFaGFwk,Hôpital d’Amos,Amos,CA,QC,J9T 2S2,+1 819-732-3341,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=1208,48.5747602,-78.1254891,1745790598,hospital,0
Abitibi Temiscamingue,41506,HOPITAL D'AMOS,"622 4E RUE O, AMOS, QC, J9T 2S2",,29.0,ChIJ8_e2nZGSIE0RQHTMxFaGFwk,Hôpital d’Amos,Amos,CA,QC,J9T 2S2,+1 819-732-3341,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=1208,48.5747602,-78.1254891,1745790598,hospital,0
Abitibi Temiscamingue,41520,CENTRE MULTI SSS DE LA SARRE,"679 2E RUE CP 6000, LA SARRE, QC, J9Z 2X7",,30.0,ChIJA0oPPnh5IU0R6oY1vw_EGAY,Centre Hospitalier De La Sarre,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745790598,hospital,0
Abitibi Temiscamingue,41530,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2",,31.0,ChIJF41xFJozIU0R751OraSgjMc,Hospital of Rouyn-Noranda - Juteau-Lemay Building,Rouyn-Noranda,CA,QC,J9X 2B2,+1 819-764-5131,,hospital,https://www.cisss-at.gouv.qc.ca/,48.2435816,-79.0194841,1745790598,hospital,0
Abitibi Temiscamingue,41531,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2",,32.0,ChIJF41xFJozIU0R751OraSgjMc,Hospital of Rouyn-Noranda - Juteau-Lemay Building,Rouyn-Noranda,CA,QC,J9X 2B2,+1 819-764-5131,,hospital,https://www.cisss-at.gouv.qc.ca/,48.2435816,-79.0194841,1745790598,hospital,0
Abitibi Temiscamingue,41536,HOPITAL DE ROUYN-NORANDA,"4 9E RUE, ROUYN-NORANDA, QC, J9X 2B2",,33.0,ChIJF41xFJozIU0R751OraSgjMc,Hospital of Rouyn-Noranda - Juteau-Lemay Building,Rouyn-Noranda,CA,QC,J9X 2B2,+1 819-764-5131,,hospital,https://www.cisss-at.gouv.qc.ca/,48.2435816,-79.0194841,1745790598,hospital,0
Abitibi Temiscamingue,41540,HOPITAL DE VAL-D'OR,"725 6E RUE, VAL-D'OR, QC, J9P 3Y1",,34.0,ChIJZxWIxxFT30wR3OYQ6a73BHU,Hôpital de Val-d’Or,Val-d'Or,CA,QC,J9P 3Y1,+1 819-825-5858,,hospital,http://www.cisss-at.gouv.qc.ca/,48.0966532,-77.7964539,1745790598,hospital,0
Abitibi Temiscamingue,41550,CENTRE MULTI SSS DE VILLE-MARIE,"22 NOTRE-DAME N, VILLE-MARIE, QC, J9V 1W8",,35.0,ChIJK40IRaJBJk0RFifVvlYtO9s,Centre de Santé et de services sociaux du Lac-Témiscamingue,Ville-Marie,CA,QC,J9V 1W8,+1 819-629-2420,,hospital,https://www.cisss-at.gouv.qc.ca/,47.33327469999999,-79.44437010000001,1745790598,hospital,0
Abitibi Temiscamingue,44939,CRDP ET CRDI-TSA DE ROUYN-NORANDA,"100 CH DR LEMAY, ROUYN-NORANDA, QC, J9X 5T2",,36.0,ChIJuRgL6nIzIU0Ruq9e0oKICvk,Centre De Readaptation La Maison,Rouyn-Noranda,CA,QC,J9X 5T2,+1 819-762-6592,,hospital,https://sante.gouv.qc.ca/repertoire-ressources/ressource/?nofiche=198&ch_type=&bt_rechType=&theme=autres-ressources&ch_choixReg=&ch_rayon=0&ch_code=&page=310,48.2253979,-79.02105949999999,1745790598,hospital,0
Abitibi Temiscamingue,48291,GMFU DE LA VALLEE-DE-L'OR,"525 6E RUE, VAL-D'OR, QC, J9P 0L6",,37.0,ChIJO7S3wRBT30wRm70jlpSgkhg,GMF-U de la Vallée-de-l'Or / Groupe de médecine familiale universitaire de la Vallée-de-l'Or,Val-d'Or,CA,QC,J9P 0L6,+1 819-825-5858 ext. 5,,hospital,http://www.gmfuvalleedelor.com/,48.0963772,-77.7951121,1745790598,hospital,0
Abitibi Temiscamingue,48301,GMFU DE ROUYN-NORANDA,"3 9E RUE 3E ETAGE, ROUYN-NORANDA, QC, J9X 2A9",,38.0,ChIJF41xFJozIU0RQWSvWi6SyVQ,Groupe de médecine de famille universitaire,Rouyn-Noranda,CA,QC,J9X 2A9,+1 819-797-4535,,hospital,,48.2441571,-79.0206456,1745790598,hospital,0
Abitibi Temiscamingue,49241,GMFU D'AMOS,"100-692 4E AVENUE O, AMOS, QC, J9T 0B7",,39.0,ChIJ74T1odiTIE0R9N83dwNcxMw,GMF-U Les Eskers d'Amos,Amos,CA,QC,J9T 0B7,+1 819-732-6972,,hospital,http://gmfuleseskers.ca/,48.5750236,-78.1281051,1745790598,hospital,0
Abitibi Temiscamingue,50139,CANADIAN FORCES BASE HOSPITAL,", SENNETERRE, QC, J0Y 2M0",,40.0,ChIJG9BybJIW30wRPg2udXmJYmQ,Centre de santé de Senneterre,Senneterre,CA,QC,J0Y 2M0,+1 819-825-5858,,hospital,http://www.cisss-at.gouv.qc.ca/,48.3845597,-77.2529078,1745790598,hospital,0
Abitibi Temiscamingue,51014,CLINIQUE D'HYGIENE DENTAIRE NOEMIE ROY,"108-450 3E AVENUE, VAL-D'OR, QC, J9P 1S2",,41.0,ChIJHZ60leFT30wR2SiZAZnA1KY,Clinique d'hygiène dentaire Noémie Roy,Val-d'Or,CA,QC,J9P 1S2,+1 819-443-4158,,hospital,https://www.noemieroy-hd.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11114864552978627084,48.1008612,-77.7796655,1745790598,hospital,0
Abitibi Temiscamingue,52511,CLINIQUE D'OPTOMETRIE DE MALARTIC,"742 ROYALE CP 1807, MALARTIC, QC, J0Y 1Z0",,42.0,ChIJc_hfxn6tIE0Rz6wItmfvifM,Hôpital en santé mentale et CLSC de Malartic,Malartic,CA,QC,J0Y 1Z0,+1 819-825-5858,,hospital,https://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=954,48.14122889999999,-78.1286676,1745790598,hospital,0
Abitibi Temiscamingue,52512,"CLINIQUE D'OPTOMETRIE MORIN, MARCOTTE, LAROCHE","660A 10E AVENUE, SENNETERRE, QC, J0Y 2M0",,43.0,ChIJU1OAcwRT30wRWm7xI4AAvdM,Vision-Ère,Val-d'Or,CA,QC,J9P 1S7,+1 819-824-4703,,hospital,http://visionere.ca/,48.1014327,-77.7847456,1745790598,hospital,0
Abitibi Temiscamingue,52513,COME VIENS OPTOMETRISTE,"7A SAINTE-ANNE, VILLE-MARIE, QC, J9V 2B6",,44.0,ChIJ1_R5AKBBJk0RkoR4_gCujNA,IRIS Optométristes et Opticiens - Ville-Marie,Ville-Marie,CA,QC,J9V 1J3,+1 819-622-0909,,hospital,https://iris.ca/fr/trouver-une-boutique/ville-marie,47.3343723,-79.4364775,1745790598,hospital,0
Abitibi Temiscamingue,52514,ROGER BELLEMARE OPTOMETRISTE,"26A DES OBLATS N, VILLE-MARIE, QC, J9V 1J3",,45.0,ChIJ1_R5AKBBJk0RkoR4_gCujNA,IRIS Optométristes et Opticiens - Ville-Marie,Ville-Marie,CA,QC,J9V 1J3,+1 819-622-0909,,hospital,https://iris.ca/fr/trouver-une-boutique/ville-marie,47.3343723,-79.4364775,1745790598,hospital,0
Abitibi Temiscamingue,52739,CLINIQUE D'OPTOMETRIE DE VAL D'OR,"887 3E AVENUE, VAL-D'OR, QC, J9P 1T2",,46.0,ChIJU1OAcwRT30wRWm7xI4AAvdM,Vision-Ère,Val-d'Or,CA,QC,J9P 1S7,+1 819-824-4703,,hospital,http://visionere.ca/,48.1014327,-77.7847456,1745790598,hospital,0
Abitibi Temiscamingue,52740,CLINIQUE D'OPTOMETRIE VISION-ERE,"663 3E AVENUE, VAL-D'OR, QC, J9P 1S7",,47.0,ChIJU1OAcwRT30wRWm7xI4AAvdM,Vision-Ère,Val-d'Or,CA,QC,J9P 1S7,+1 819-824-4703,,hospital,http://visionere.ca/,48.1014327,-77.7847456,1745790598,hospital,0
Abitibi Temiscamingue,52742,CLINIQUE D'OPTOMETRIE IRIS,"82 1E AVENUE E, AMOS, QC, J9T 4B2",,48.0,ChIJV_iVLYqSIE0R4rx5xr2_xug,Centre visuel des eskers,Amos,CA,QC,J9T 1H2,+1 819-732-6831,,hospital,http://centrevisueldeseskers.com/,48.57213499999999,-78.114401,1745790598,hospital,0
Abitibi Temiscamingue,52743,CENTRE VISUEL ROUYN-NORANDA,"66 GAMBLE O, ROUYN-NORANDA, QC, J9X 2R4",,49.0,ChIJHeczC5wzIU0R6UDeVvaGBOE,IRIS Optométristes et Opticiens - Rouyn-Noranda,Rouyn-Noranda,CA,QC,J9X 4T3,+1 819-764-4747,,hospital,https://iris.ca/fr/trouver-une-boutique/rouyn-noranda,48.2388163,-79.0222534,1745790598,hospital,0
Abitibi Temiscamingue,52746,IRIS LASARRE,"49 5E AVENUE E, LA SARRE, QC, J9Z 1L1",,50.0,ChIJZa-2LQ55IU0RtPrUq5cLyj0,IRIS,La Sarre,CA,QC,J9Z 1K9,+1 819-339-5656,,hospital,https://iris.ca/fr/trouver-une-boutique/la-sarre,48.8051415,-79.2025022,1745790598,hospital,0
Abitibi Temiscamingue,52747,"CHABOT, TRUDEL ET ST-PIERRE OPTOMETRISTES","200-671 2E RUE E, LA SARRE, QC, J9Z 3J7",,51.0,ChIJZa-2LQ55IU0RtPrUq5cLyj0,IRIS,La Sarre,CA,QC,J9Z 1K9,+1 819-339-5656,,hospital,https://iris.ca/fr/trouver-une-boutique/la-sarre,48.8051415,-79.2025022,1745790598,hospital,0
Abitibi Temiscamingue,52859,LAURENT MERCIER OPTOMETRISTE,"51 BOUL MERCIER, AMOS, QC, J9T 2N8",,52.0,ChIJL6SZn5OSIE0RkRkfhZncsj8,"Clinique d'optométrie Mercier, Lapointe, Langevin",Amos,CA,QC,J9T 1V8,+1 819-732-2622,,hospital,http://www.cliniquemll.com/,48.57173899999999,-78.12892,1745790598,hospital,0
Abitibi Temiscamingue,52966,GREICHE ET SCAFF,"39-1801 3E AVENUE, VAL-D'OR, QC, J9P 5K1",,53.0,ChIJk4zSNAJT30wR23azOBVPBe8,Greiche & Scaff Val d'Or,Val-d'Or,CA,QC,J9P 5K1,+1 819-874-8055,,hospital,https://www.greiche-scaff.com/fr/stores/store/index/id/347/,48.095332,-77.8261741,1745790598,hospital,0
Abitibi Temiscamingue,53058,GREICHE & SCAFF,"96-100 DU TERMINUS O, ROUYN-NORANDA, QC, J9X 6H7",,54.0,ChIJLXeeVHUzIU0RXF6rAic7K_Y,Greiche & Scaff Rouyn,Rouyn-Noranda,CA,QC,J9X 6H7,+1 819-764-6786,,hospital,https://www.greiche-scaff.com/fr/stores/store/index/id/356/,48.24286069999999,-79.0248853,1745790598,hospital,0
Abitibi Temiscamingue,53134,CHARLES LONGLADE O.D.,"183 ANVIK, TEMISCAMING, QC, J0Z 3R0",,55.0,ChIJRQRBYBpvKE0RL7GveR1bGY8,Vincent Labranche | REALTOR | Cottages For Sale Quebec,Témiscaming,CA,QC,J0Z 3R0,+1 705-499-5923,,pharmacy,https://labranchehometeam.com/,46.7227915,-79.0942891,1745790598,clinic,0
Abitibi Temiscamingue,53179,CLINIQUE D'OPTOMETRIE NATHALIE BRIEN,"887 3E AVENUE, VAL-D'OR, QC, J9P 1T2",,56.0,ChIJdaqu_QVT30wR8_-6R_AC--4,Opto-Réseau Val d'Or,Val-d'Or,CA,QC,J9P 1T2,+1 819-825-8933,,hospital,https://www.opto-reseau.com/fr/cliniques/clinique-opto-reseau-val-dor,48.1032058,-77.7895017,1745790598,hospital,0
Abitibi Temiscamingue,53232,CLINIQUE D'OPTOMETRIE ROUYN-NORANDA,"75 MONSEIGNEUR TESSIER O, ROUYN-NORANDA, QC, J9X 2S5",,57.0,ChIJHeczC5wzIU0R6UDeVvaGBOE,IRIS Optométristes et Opticiens - Rouyn-Noranda,Rouyn-Noranda,CA,QC,J9X 4T3,+1 819-764-4747,,hospital,https://iris.ca/fr/trouver-une-boutique/rouyn-noranda,48.2388163,-79.0222534,1745790598,hospital,0
Abitibi Temiscamingue,53822,CENTRE VISUEL DES ESKERS,"41 1E AVENUE E, AMOS, QC, J9T 1H2",,58.0,ChIJV_iVLYqSIE0R4rx5xr2_xug,Centre visuel des eskers,Amos,CA,QC,J9T 1H2,+1 819-732-6831,,hospital,http://centrevisueldeseskers.com/,48.57213499999999,-78.114401,1745790598,hospital,0
Abitibi Temiscamingue,54055,GMF-U DES AURORES BOREALES,"228 2E RUE E, LA SARRE, QC, J9Z 2G9",,59.0,ChIJc8caUw55IU0RQJ5kUzurZL0,Groupe De Medicine Familiale,La Sarre,CA,QC,J9Z 2G9,+1 819-339-5617,,hospital,https://www.gmfuab.com/fr/,48.8060379,-79.2009429,1745790598,hospital,0
Abitibi Temiscamingue,54056,CLINIQUE DE SANTE DE L'EVEIL,"202 12E AVENUE E, LA SARRE, QC, J9Z 2M6",,60.0,ChIJA0oPPnh5IU0R6oY1vw_EGAY,Centre Hospitalier De La Sarre,La Sarre,CA,QC,J9Z 2X7,+1 819-333-2311,,hospital,http://www.sante.gouv.qc.ca/en/repertoire-ressources/ressource/?nofiche=699,48.7864561,-79.198577,1745790598,hospital,0
Abitibi Temiscamingue,54057,CLINIQUE DU DOCTEURE HELENE HOTLETT,"12 MONTEE LAVIGNE CP 156, LA SARRE, QC, J9Z 2X5",,61.0,ChIJ26_D2Wh5IU0RuXJe6uUQu6c,Helene Hottlet,La Sarre,CA,QC,J9Z 2X5,+1 819-333-2345,,hospital,,48.7910899,-79.216572,1745790598,hospital,0
Abitibi Temiscamingue,54157,CLINIQUE MEDICALE LE NOROIS,"201-641 4E RUE O, AMOS, QC, J9T 2S1",,62.0,ChIJn7n3cpGSIE0RifCVQaeDISY,Clinique De Medicine Familiale,Amos,CA,QC,J9T 2S1,+1 819-732-6972,,hospital,http://www.gmfuleseskers.ca/,48.57488719999999,-78.12689929999999,1745790598,hospital,0
Abitibi Temiscamingue,54184,CLINIQUE MEDICALE DE L'OR ET DES BOIS,"1281 7E RUE, VAL-D'OR, QC, J9P 3S1",,63.0,ChIJlZkCWQZT30wRkgWMYIspJXc,Clinique De Physiothérapie Val-d’Or Inc,Val-d'Or,CA,QC,J9P 3S1,+1 819-825-2222,,hospital,https://www.physiovd.com/,48.10486589999999,-77.7864322,1745790598,hospital,0
Abitibi Temiscamingue,54185,CLINIQUE FAMILIALE DES PINS,"1019 BOUL DES PINS, VAL-D'OR, QC, J9P 4T2",,64.0,ChIJ7RTqVhZT30wR5W5KfWE87w8,Clinique Familliale Des Pins,Val-d'Or,CA,QC,J9P 4T2,+1 819-825-8464,,hospital,,48.09144819999999,-77.7996847,1745790598,hospital,0
Abitibi Temiscamingue,54186,CLINIQUE DR CLAUDE MALENFANT,"1731 3E AVENUE BUREAU 100, VAL-D'OR, QC, J9P 1W3",,65.0,ChIJQwLLYm9T30wR1UB1xtyJoOs,Malenfant Claude Dr,Val-d'Or,CA,QC,J9P 1W3,+1 819-825-6678,,hospital,,48.0974215,-77.81998519999999,1745790598,hospital,0
Abitibi Temiscamingue,54241,CLINIQUE DE MEDECINE FAMILIALE,"19 RUE GAMBLE O, ROUYN-NORANDA, QC, J9X 2R3",,66.0,ChIJF41xFJozIU0RQWSvWi6SyVQ,Groupe de médecine de famille universitaire,Rouyn-Noranda,CA,QC,J9X 2A9,+1 819-797-4535,,hospital,,48.2441571,-79.0206456,1745790598,hospital,0
Abitibi Temiscamingue,54242,CLINIQUE MEDICALE DU CUIVRE (SIEGE SOCIAL),"2813 BOUL RIDEAU, ROUYN-NORANDA, QC, J0Z 1Y0",,67.0,ChIJ48hgkXA1IU0RJjy4WsCyRyg,Clinique Médicale Évain,Rouyn-Noranda,CA,QC,J0Z 1Y0,+1 819-768-2252,,hospital,https://www.cliniquemedicaleevain.com/,48.237838,-79.131395,1745790598,hospital,0
